FileID	EventID
0003	4936
0014	19636
0019	25096
0030	39803
0037	49477
0039	52627
0065	86290
0072	96363
0074	98323
0077	101893
0077	102677
0090	119680
0091	120632
0098	129256
0098	130173
0109	144033
0110	145181
0110	145888
0111	147211
0114	150837
0123	162814
0125	165481
0133	176443
0136	179229
0136	179943
0139	183331
0141	186201
0155	204996
0156	206410
0159	210610
0165	218191
0169	223805
0174	230350
0178	235810
0179	237336
0189	249992
0189	250027
0193	255368
0201	265140
0213	280974
0214	282346
0220	290242
0233	308022
0240	317339
0252	333404
0253	334496
0268	354271
0270	356427
0276	364351
0280	369251
0284	375495
0285	376559
0287	379576
0288	379989
0292	385554
0294	387675
0301	396999
0303	400485
0303	400576
0304	400779
0305	403236
0319	421170
0324	428240
0325	429325
0336	443241
0338	446538
0340	449128
0341	449940
0341	450213
0349	461231
0360	474734
0364	480068
0368	486116
0370	487992
0375	494383
0380	501117
0382	504169
0389	513885
0392	516944
0396	523062
0398	525526
0411	542830
0413	545497
0419	552924
0420	554751
0422	556627
0424	560015
0427	562941
0428	564432
0428	565118
0430	567603
0433	571383
0443	584564
0448	590948
0451	595267
0460	606838
0460	606978
0469	619165
0478	630393
0479	632430
0487	643119
0494	651981
0494	652422
0502	662439
0502	662922
0504	664959
0512	675130
0512	675137
0515	680212
0522	688556
0523	689662
0523	689921
0526	693778
0538	710641
0549	723969
0554	730514
0577	761097
0581	767285
0589	776861
0589	777274
0591	779906
0591	779934
0592	782006
0597	788096
0604	797007
0607	801305
0611	806135
0617	813961
0627	827226
0629	830068
0629	830887
0645	852167
0646	852510
0647	854421
0648	854967
0650	857865
0650	858537
0656	865859
0656	865887
0657	867077
0660	870675
0662	873636
0667	880195
0671	886292
0676	892606
0712	939828
0719	949894
0721	951483
0729	962480
0736	971468
0737	973211
0746	984460
0751	991957
0762	1006517
0766	1011039
0766	1011158
0775	1023016
0782	1032557
0784	1035413
0788	1040950
0804	1061544
0806	1064071
0809	1067977
0821	1083510
0823	1086814
0826	1090195
0832	1099316
0844	1114534
0870	1148295
0878	1158795
0878	1159747
0878	1159978
0887	1170730
0904	1194166
0908	1199283
0914	1207144
0919	1213787
0920	1214592
0923	1219149
0925	1222082
0928	1225673
0930	1227535
0937	1236824
0939	1240051
0942	1244230
0944	1247296
0959	1266791
0969	1279118
0977	1289688
0979	1293349
0983	1298690
0985	1300475
0989	1305879
0991	1308560
0991	1309022
0996	1315427
1006	1328027
1009	1332346
1022	1349160
1035	1366982
1037	1369691
1040	1373555
1042	1376271
1045	1380436
1054	1392371
1064	1405720
1066	1407911
1077	1422891
1094	1443933
1096	1447055
1097	1448833
1101	1453810
1109	1464513
1110	1466242
1120	1478611
1124	1484295
1125	1485254
1139	1503860
1139	1504280
1141	1507031
1145	1511147
1155	1525217
1167	1541289
1173	1548814
1176	1552167
1178	1554645
1182	1560273
1183	1561281
1187	1566496
1187	1566972
1190	1571459
1192	1574189
1196	1578893
1196	1578907
1199	1583394
1202	1587342
1202	1587440
1211	1599158
1221	1611877
1223	1614495
1231	1624967
1242	1639184
1244	1642166
1250	1649642
1257	1659743
1264	1668185
1266	1671104
1266	1671454
1272	1678783
1278	1687652
1282	1692860
1292	1706272
1293	1707266
1294	1708785
1296	1710801
1298	1714126
1303	1720216
1306	1724556
1311	1730590
1321	1743967
1322	1744926
1323	1746032
1325	1749434
1334	1760704
1344	1773871
1346	1776412
1347	1778715
1351	1782992
1357	1791805
1360	1795788
1376	1816326
1379	1820582
1381	1822500
1382	1824250
1391	1835471
1393	1838838
1393	1839062
1398	1845292
1408	1858774
1422	1876218
1426	1882413
1427	1882896
1430	1887712
1430	1887894
1431	1889168
1432	1889385
1440	1900361
1440	1900508
1444	1905464
1451	1914977
1451	1915432
1454	1918995
1455	1920423
1459	1925036
1460	1926576
1463	1930251
1463	1930888
1468	1937748
1469	1939197
1484	1958958
1489	1964943
1495	1972902
1504	1984543
1504	1984844
1528	2016092
1535	2025955
1538	2029532
1542	2035223
1543	2037092
1546	2040606
1548	2042454
1568	2068886
1569	2071329
1571	2073884
1580	2084804
1580	2084930
1581	2086239
1582	2087170
1583	2089011
1585	2091965
1590	2097698
1594	2103431
1598	2109227
1601	2112566
1603	2114827
1603	2115947
1610	2124935
1610	2125285
1613	2128876
1613	2128988
1623	2142001
1624	2143275
1627	2147020
1627	2147412
1630	2151514
1631	2152298
1631	2152599
1633	2155546
1637	2160439
1646	2171758
1646	2172206
1649	2175720
1651	2178289
1651	2178884
1653	2181768
1657	2186255
1659	2189874
1662	2192576
1686	2224979
1688	2227352
1693	2233827
1694	2234800
1697	2239812
1698	2240610
1703	2247183
1703	2247253
1713	2259895
1714	2261421
1714	2262086
1715	2263038
1718	2266601
1719	2268512
1725	2276100
1732	2286152
1735	2289064
1736	2290205
1746	2303708
1763	2327207
1772	2338456
1772	2338834
1774	2340920
1777	2345204
1783	2352400
1783	2352498
1791	2363880
1806	2383781
1814	2393553
1816	2396710
1819	2400945
1822	2403976
1830	2415519
1846	2435742
1852	2444121
1861	2455328
1862	2456784
1864	2460018
1866	2462069
1867	2464183
1868	2465373
1880	2480122
1897	2503299
1897	2503586
1905	2513120
1913	2524131
1917	2528891
1918	2530956
1921	2534652
1921	2535422
1923	2536857
1937	2556506
1941	2560846
1950	2573600
1960	2586641
1979	2611785
1997	2635732
2002	2642207
2009	2651083
2014	2658209
2017	2662017
2029	2677767
2031	2680259
2047	2701483
2054	2710100
2058	2715637
2060	2718920
2061	2719683
2063	2722686
2067	2727649
2067	2728251
2070	2731352
2075	2737925
2076	2739339
2082	2746983
2087	2754242
2094	2763706
2096	2766443
2099	2769516
2101	2773079
2102	2774311
2121	2799665
2124	2803102
2129	2809437
2136	2818698
2145	2831025
2148	2834931
2153	2841266
2160	2851507
2170	2864177
2170	2864317
2174	2869868
2175	2871156
2176	2871835
2183	2881320
2198	2901053
2209	2915830
2210	2916747
2214	2921934
2219	2928871
2219	2929193
2226	2937782
2228	2941023
2250	2970031
2251	2971011
2258	2981231
2267	2992403
2271	2997737
2272	2998661
2275	3002518
2284	3015104
2285	3016553
2286	3017624
2291	3024505
2298	3032779
2304	3041753
2307	3045239
2309	3048480
2312	3052477
2314	3054584
2316	3057713
2321	3064167
2335	3081856
2344	3093924
2356	3110570
2358	3112817
2363	3119866
2373	3131976
2373	3132809
2379	3140446
2383	3145325
2386	3149294
2387	3151093
2387	3151100
2389	3153438
2420	3194808
