Measurement time	Rn222 (Bq/m3) AG2078  [DVD]	Data quality ALGU () AG2078  [DVD]	System quality ALGU () AG2078  [DVD]	Reloc channel/Marker () AG2078  [DVD]	Add 1.0 function for Rn222+error in Bq AG2078  [DVD] (Bqm3) 	Add 1.0 function for Temperature �C AG2078  [DVD] (C) 	Add 1.0 function for Air pressure mbar AG2078  [DVD] (mbar) 	Add 1.0 function for Humidity rel.% AG2078  [DVD] (%)						
28/07/2025 13:20:00	23	[LOLIM]		[Reloc]	31	22,4	884,7	47,5
28/07/2025 13:30:00	82				28	22,3	884,7	48,5
28/07/2025 13:40:00	95				32	22,3	884,7	48,0
28/07/2025 13:50:00	36				18	22,4	884,5	48,0
28/07/2025 14:00:00	33				17	22,5	884,6	48,0
28/07/2025 14:10:00	78				27	22,4	884,5	47,5
28/07/2025 14:20:00	83				29	22,3	884,4	48,5
28/07/2025 14:30:00	88				31	22,3	884,6	48,0
28/07/2025 14:40:00	81				30	22,4	884,7	47,5
28/07/2025 14:50:00	68				27	22,4	884,5	48,0
28/07/2025 15:00:00	59				25	22,3	884,6	49,5
28/07/2025 15:10:00	38				19	22,1	884,5	48,5
28/07/2025 15:20:00	66				25	22,1	884,6	49,0
28/07/2025 15:30:00	40				19	22,4	884,5	48,5
28/07/2025 15:40:00	61				24	22,4	884,7	49,0
28/07/2025 15:50:00	48				21	22,1	884,8	49,0
28/07/2025 16:00:00	80				28	22,1	884,8	48,5
28/07/2025 16:10:00	43				20	22,3	884,9	48,0
28/07/2025 16:20:00	48				21	22,3	884,8	48,5
28/07/2025 16:30:00	42				19	22,3	884,7	49,0
28/07/2025 16:40:00	50				21	22,1	884,6	48,5
28/07/2025 16:50:00	56				22	22,1	884,7	48,5
28/07/2025 17:00:00	85				29	22,3	884,6	48,0
28/07/2025 17:10:00	63				25	22,4	884,7	49,0
28/07/2025 17:20:00	35				18	22,1	884,8	48,8
28/07/2025 17:30:00	89				30	22,1	884,7	48,5
28/07/2025 17:40:00	59				24	22,3	884,8	48,0
28/07/2025 17:50:00	74				27	22,3	884,8	48,0
28/07/2025 18:00:00	32				17	22,1	885,1	48,5
28/07/2025 18:10:00	65				25	22,1	884,8	48,0
28/07/2025 18:20:00	33				17	22,1	884,6	47,5
28/07/2025 18:30:00	71				25	22,4	884,8	47,3
28/07/2025 18:40:00	69				25	22,4	884,8	47,8
28/07/2025 18:50:00	54				22	22,3	884,7	48,3
28/07/2025 19:00:00	47				21	22,1	884,9	47,3
28/07/2025 19:10:00	40				18	22,3	884,9	46,5
28/07/2025 19:20:00	53				21	22,4	885,1	46,5
28/07/2025 19:30:00	41				18	22,3	885,1	46,5
28/07/2025 19:40:00	95				31	22,1	885,1	47,0
28/07/2025 19:50:00	23				14	22,3	885,3	46,8
28/07/2025 20:00:00	61				23	22,4	885,3	46,0
28/07/2025 20:10:00	38				18	22,3	885,3	47,0
28/07/2025 20:20:00	76				26	22,1	885,4	46,5
28/07/2025 20:30:00	46				20	22,1	885,4	46,0
28/07/2025 20:40:00	63				24	22,3	885,3	45,8
28/07/2025 20:50:00	88				30	22,3	885,5	45,5
28/07/2025 21:00:00	40				19	22,1	885,6	46,0
28/07/2025 21:10:00	45				20	22,1	885,7	46,0
28/07/2025 21:20:00	52				21	22,3	885,8	45,5
28/07/2025 21:30:00	43				19	22,4	886,0	45,5
28/07/2025 21:40:00	70				25	22,3	885,9	46,0
28/07/2025 21:50:00	72				26	22,1	885,9	46,0
28/07/2025 22:00:00	78				28	22,3	886,1	45,5
28/07/2025 22:10:00	37				18	22,4	886,1	44,8
28/07/2025 22:20:00	48				21	22,3	886,3	45,8
28/07/2025 22:30:00	58				23	22,1	886,4	45,5
28/07/2025 22:40:00	69				25	22,1	886,6	45,5
28/07/2025 22:50:00	57				23	22,3	886,7	45,0
28/07/2025 23:00:00	39				18	22,3	886,7	45,5
28/07/2025 23:10:00	49				21	22,3	886,7	46,0
28/07/2025 23:20:00	111				34	22,1	886,6	46,0
28/07/2025 23:30:00	58				24	22,3	886,7	45,3
28/07/2025 23:40:00	37				18	22,3	886,7	45,5
28/07/2025 23:50:00	75				27	22,3	886,8	46,3
29/07/2025	33				17	22,1	886,8	46,0
29/07/2025 0:10:00	56				22	22,1	886,8	45,5
29/07/2025 0:20:00	58				23	22,4	886,9	45,3
29/07/2025 0:30:00	62				32	22,3	887,0	47,0
29/07/2025 0:40:00	48				21	22,1	886,9	45,8
29/07/2025 0:50:00	65				24	22,1	887,0	46,0
29/07/2025 1:00:00	51				21	22,4	887,0	45,5
29/07/2025 1:10:00	58				23	22,3	886,8	45,8
29/07/2025 1:20:00	40				18	22,1	886,8	46,5
29/07/2025 1:30:00	78				27	22,1	886,8	46,0
29/07/2025 1:40:00	42				19	22,3	886,8	46,0
29/07/2025 1:50:00	73				26	22,4	886,7	46,0
29/07/2025 2:00:00	44				20	22,3	886,8	46,5
29/07/2025 2:10:00	77				27	22,1	886,7	46,0
29/07/2025 2:20:00	53				22	22,1	886,7	45,8
