Measurement time	Rn222 (Bq/m3) AG2078  [DVD]	Data quality ALGU () AG2078  [DVD]	System quality ALGU () AG2078  [DVD]	Reloc channel/Marker () AG2078  [DVD]	Add 1.0 function for Rn222+error in Bq AG2078  [DVD] (Bqm3) 	Add 1.0 function for Temperature �C AG2078  [DVD] (C) 	Add 1.0 function for Air pressure mbar AG2078  [DVD] (mbar) 	Add 1.0 function for Humidity rel.% AG2078  [DVD] (%)						
11/08/2025 12:30:00	87				44	22,3	886,2	50,3
11/08/2025 12:40:00	62				27	22,4	886,3	50,5
11/08/2025 12:50:00	125	[PREA]			39	22,4	886,2	49,8
11/08/2025 13:00:00	99				36	22,4	886,2	48,5
11/08/2025 13:10:00	72				31	22,3	886,1	49,0
11/08/2025 13:20:00	50				24	22,1	886,0	49,0
11/08/2025 13:30:00	71				29	22,4	885,9	49,5
11/08/2025 13:40:00	65				27	22,4	885,9	48,5
11/08/2025 13:50:00	44				21	22,3	885,7	48,0
11/08/2025 14:00:00	92				32	22,1	885,7	48,5
11/08/2025 14:10:00	36				19	22,1	885,6	48,0
11/08/2025 14:20:00	99				33	22,4	885,6	48,0
11/08/2025 14:30:00	95				33	22,4	885,5	48,0
11/08/2025 14:40:00	80				31	22,3	885,4	47,5
11/08/2025 14:50:00	66				27	22,1	885,3	47,5
11/08/2025 15:00:00	59				25	22,3	885,4	47,8
11/08/2025 15:10:00	86				31	22,4	885,4	46,3
11/08/2025 15:20:00	44				21	22,3	885,4	46,5
11/08/2025 15:30:00	67				26	22,3	885,2	46,5
11/08/2025 15:40:00	47				21	22,1	885,4	47,0
11/08/2025 15:50:00	96				32	22,3	885,4	46,5
11/08/2025 16:00:00	96				33	22,3	885,5	46,5
11/08/2025 16:10:00	105				36	22,3	885,8	46,3
11/08/2025 16:20:00	42				21	22,1	886,0	46,5
11/08/2025 16:30:00	46				21	22,1	886,2	46,5
11/08/2025 16:40:00	57				24	22,4	886,2	47,0
11/08/2025 16:50:00	91				31	22,4	886,2	47,3
11/08/2025 17:00:00	100				34	22,1	886,3	48,0
11/08/2025 17:10:00	63				26	22,1	886,1	47,5
11/08/2025 17:20:00	58				25	22,3	885,7	47,5
11/08/2025 17:30:00	50				22	22,3	885,7	48,0
11/08/2025 17:40:00	42				20	22,3	885,6	49,0
11/08/2025 17:50:00	82				29	22,3	885,5	49,8
11/08/2025 18:00:00	111				36	22,1	885,3	49,5
11/08/2025 18:10:00	102				35	22,3	885,2	49,0
11/08/2025 18:20:00	64				27	22,4	885,3	49,0
11/08/2025 18:30:00	59				25	22,3	885,3	49,5
11/08/2025 18:40:00	82				31	22,1	885,1	49,8
11/08/2025 18:50:00	51				23	22,1	885,1	49,0
11/08/2025 19:00:00	66				26	22,4	884,8	49,0
