Measurement time	Rn222 (Bq/m3) AG2078  [DVD]	Data quality ALGU () AG2078  [DVD]	System quality ALGU () AG2078  [DVD]	Reloc channel/Marker () AG2078  [DVD]	Add 1.0 function for Rn222+error in Bq AG2078  [DVD] (Bqm3) 	Add 1.0 function for Temperature �C AG2078  [DVD] (C) 	Add 1.0 function for Air pressure mbar AG2078  [DVD] (mbar) 	Add 1.0 function for Humidity rel.% AG2078  [DVD] (%)					
18/08/2025 13:40:00	130				76	22,4	882,5	45,5
18/08/2025 13:50:00	171				46	22,5	882,7	45,0
18/08/2025 14:00:00	144	[PREA]			44	22,5	882,6	46,0
18/08/2025 14:10:00	139				44	22,4	882,6	46,0
18/08/2025 14:20:00	111				41	22,4	882,0	45,3
18/08/2025 14:30:00	52				31	22,4	881,6	45,0
18/08/2025 14:40:00	125				47	22,4	881,8	45,0
18/08/2025 14:50:00	92				38	22,3	881,7	45,5
18/08/2025 15:00:00	130				41	22,3	881,6	45,5
18/08/2025 15:10:00	81				36	22,3	882,1	45,0
18/08/2025 15:20:00	120				40	22,3	881,9	45,8
18/08/2025 15:30:00	83				36	22,1	881,7	45,5
18/08/2025 15:40:00	134				41	22,3	881,5	45,0
18/08/2025 15:50:00	99				38	22,4	881,5	44,3
18/08/2025 16:00:00	78				35	22,4	881,4	45,5
18/08/2025 16:10:00	85				36	22,3	881,2	45,5
18/08/2025 16:20:00	66				31	22,1	881,1	45,0
18/08/2025 16:30:00	67				30	22,1	881,2	44,8
18/08/2025 16:40:00	69				30	22,3	881,2	45,8
18/08/2025 16:50:00	82				32	22,4	881,2	44,8
18/08/2025 17:00:00	94				35	22,4	881,4	46,0
18/08/2025 17:10:00	89				34	22,3	881,2	46,0
18/08/2025 17:20:00	88				34	22,3	881,4	46,5
18/08/2025 17:30:00	85				33	22,1	881,1	47,0
18/08/2025 17:40:00	78				32	22,1	882,4	47,0
18/08/2025 17:50:00	71				30	22,3	883,1	47,5
18/08/2025 18:00:00	31				18	22,4	883,3	47,0
18/08/2025 18:10:00	87				31	22,4	883,5	48,0
18/08/2025 18:20:00	89				32	22,3	884,2	49,0
18/08/2025 18:30:00	43				21	22,3	883,4	48,5
18/08/2025 18:40:00	38				19	22,1	882,9	49,0
18/08/2025 18:50:00	66				25	22,1	882,6	49,0
18/08/2025 19:00:00	83				30	22,1	882,4	49,0
18/08/2025 19:10:00	57				24	22,4	882,2	48,5
18/08/2025 19:20:00	82				30	22,4	882,2	49,0
18/08/2025 19:30:00	96				33	22,3	882,3	49,5
18/08/2025 19:40:00	78				30	22,3	882,3	50,5
18/08/2025 19:50:00	44				21	22,3	882,6	50,3
18/08/2025 20:00:00	59				25	22,3	882,3	51,3
18/08/2025 20:10:00	102				34	22,1	882,6	51,0
18/08/2025 20:20:00	67				27	22,3	882,3	51,3
18/08/2025 20:30:00	48				22	22,4	882,3	51,0
18/08/2025 20:40:00	66				26	22,4	882,5	51,8
18/08/2025 20:50:00	47				21	22,3	882,5	52,3
18/08/2025 21:00:00	109				35	22,3	882,4	52,3
18/08/2025 21:10:00	46				21	22,3	882,4	52,0
18/08/2025 21:20:00	61				25	22,3	882,5	52,8
18/08/2025 21:30:00	91				31	22,1	882,8	52,8
18/08/2025 21:40:00	82				30	22,1	883,2	52,8
18/08/2025 21:50:00	82				31	22,1	883,2	52,8
18/08/2025 22:00:00	77				30	22,1	883,3	52,8
18/08/2025 22:10:00	69				28	22,3	883,3	53,3
18/08/2025 22:20:00	93				33	22,3	883,3	53,5
18/08/2025 22:30:00	49				23	22,3	883,3	53,3
18/08/2025 22:40:00	86				31	22,3	883,2	53,3
18/08/2025 22:50:00	81				31	22,3	883,0	53,8
18/08/2025 23:00:00	92				33	22,3	882,9	53,3
18/08/2025 23:10:00	117				38	22,3	882,9	53,8
18/08/2025 23:20:00	125				39	22,3	882,8	54,0
18/08/2025 23:30:00	54				26	22,1	882,8	54,3
18/08/2025 23:40:00	121				39	22,1	882,7	53,8
18/08/2025 23:50:00	121				39	22,1	882,7	54,8
19/08/2025	58				28	22,3	882,7	54,3
19/08/2025 0:10:00	56				26	22,4	882,7	53,5
19/08/2025 0:20:00	99				36	22,3	882,6	54,5
19/08/2025 0:30:00	101				36	22,3	882,5	55,5
19/08/2025 0:40:00	56				26	22,3	882,4	54,5
19/08/2025 0:50:00	104				36	22,3	882,6	54,5
19/08/2025 1:00:00	89				34	22,1	882,4	54,3
19/08/2025 1:10:00	60				27	22,1	882,6	55,0
19/08/2025 1:20:00	77				31	22,1	882,5	54,8
19/08/2025 1:30:00	45				22	22,1	882,3	55,5
19/08/2025 1:40:00	51				23	22,1	882,2	55,0
19/08/2025 1:50:00	63				25	22,4	882,0	54,5
19/08/2025 2:00:00	129				38	22,4	882,1	54,0
19/08/2025 2:10:00	133				39	22,4	882,0	55,0
19/08/2025 2:20:00	53				25	22,3	881,9	53,8
19/08/2025 2:30:00	96				35	22,3	881,6	54,8
19/08/2025 2:40:00	68				29	22,3	881,5	54,5
19/08/2025 2:50:00	112				37	22,1	881,4	55,0
19/08/2025 3:00:00	77				31	22,1	881,2	54,5
19/08/2025 3:10:00	117				38	22,1	881,2	54,5
19/08/2025 3:20:00	89				35	22,1	881,2	54,8
19/08/2025 3:30:00	38				21	22,1	881,1	54,3
19/08/2025 3:40:00	75				30	22,4	881,0	53,8
19/08/2025 3:50:00	86				32	22,4	880,9	54,3
19/08/2025 4:00:00	71				29	22,3	880,9	54,3
19/08/2025 4:10:00	52				24	22,3	880,8	54,5
19/08/2025 4:20:00	142				40	22,3	880,8	55,0
19/08/2025 4:30:00	113				38	22,1	880,7	54,8
19/08/2025 4:40:00	52				25	22,1	880,7	54,5
19/08/2025 4:50:00	84				32	22,3	880,6	54,8
19/08/2025 5:00:00	87				33	22,4	880,6	53,8
19/08/2025 5:10:00	68				29	22,4	880,6	54,8
19/08/2025 5:20:00	92				34	22,3	880,6	53,8
19/08/2025 5:30:00	56				25	22,3	880,5	54,8
19/08/2025 5:40:00	99				35	22,3	880,6	55,0
19/08/2025 5:50:00	44				22	22,1	880,5	54,8
19/08/2025 6:00:00	60				25	22,1	880,4	55,0
19/08/2025 6:10:00	115				37	22,4	880,3	54,5
19/08/2025 6:20:00	27				17	22,4	880,5	54,5
