Run ID	Date_CV	Date_err	Reco_evts
15062	1742689106.4003	116.5918	59868
15063	1742771507.3300	113.8183	55600
15076	1742869006.3576	106.4449	48760
15288	1746852358.4152	195.9026	27967
15289	1746937599.5875	191.6015	25979
15290	1747010122.7872	165.1788	19467
15299	1747094427.4838	191.5840	17411
15318	1747194081.6536	199.8869	28043
15319	1747280716.6385	202.4807	27274
15330	1747704253.7653	206.1492	27508
15331	1747790879.1174	207.5643	26800
15332	1747867844.4950	185.6461	21445
15462	1747948220.9526	137.3453	12533
15472	1748048112.1148	204.1991	27372
15478	1748210139.3220	202.4480	27808
15479	1748297350.7258	203.0866	27966
15484	1748397122.7574	207.0455	27361
15485	1748483416.5755	206.2215	27379
15486	1748570150.3603	204.1331	27724
15487	1748657857.4108	200.2728	27964
15488	1748743979.9450	199.6980	28187
15489	1748817856.2422	167.2602	19602
15502	1749079511.8845	197.1472	27751
15504	1749179270.1799	196.7320	27695
15505	1749266417.3127	196.8865	28114
15506	1749352464.2492	195.9693	27948
15507	1749422528.8328	159.5171	18217
15514	1749509943.6332	161.6811	19654
15519	1749588623.1321	123.9390	11204
15520	1749671193.8371	195.0650	27576
15521	1749757936.5141	194.8266	27882
15527	1749878161.8396	177.2492	23207
15528	1749933751.6765	137.9722	13273
15535	1750021191.8275	192.0602	28373
15539	1750112332.9561	157.4948	15454
15540	1750210762.7672	159.7792	22110
15541	1750287722.1070	178.8627	28554
15542	1750375259.5614	179.5383	29189
15543	1750462558.4633	178.2913	28498
15544	1750549086.3017	177.5956	28898
15545	1750635753.0551	177.4333	28851
15546	1750720957.1384	175.9031	28061
15547	1750798774.5690	160.8830	23992
15557	1750888536.6071	158.5165	22026
