Run_ID	duration	Date_CV	Date_Err	OK	LOST	Reco_CV	After_Zneg	nS1_0	nS1_1	nS1_NOPolike	After_S1	After_S2	nElectron	Clean_nElectron	nElectron_Trg2	nElectron_Fiducial	nElectron_Tube	nElectron_Anode	nElectron_Cathode	nAlpha	Clean_nAlpha	nAlpha_Trg2	nAlpha_Fiducial	nAlpha_Tube	nAlpha_Anode	nAlpha_Cathode
15299	60204	1747094451.4979	183.0122	18014	8929	17411	14809	1376	12363	10178	11554	9249	6642	6641	5318	218	4007	588	505	2607	2607	2591	670	346	59	1516
15318	86706	1747194103.5202	190.5759	28735	1011	28043	24307	2204	20376	16877	19081	17161	12154	12147	9653	363	7284	1092	914	5007	5007	4990	1310	706	99	2875
15319	85823	1747280613.4056	193.0230	27973	1008	27274	23734	2078	19973	16475	18553	16594	11765	11756	9263	333	7037	1015	878	4829	4828	4807	1232	712	83	2780
15330	86462	1747704407.1712	197.2342	28157	1043	27508	23924	2054	19930	16431	18485	15837	11066	11056	8676	331	6546	930	869	4771	4771	4744	1238	664	91	2751
15331	85389	1747790937.1376	197.9720	27390	9966	26800	23300	2051	19567	16070	18121	15465	10796	10790	8416	317	6389	912	798	4669	4669	4664	1190	676	107	2691
15332	67758	1747867906.1708	176.8963	22010	8142	21445	18624	1652	15627	12782	14434	12436	8798	8788	6856	250	5174	762	670	3638	3637	3624	928	546	81	2069
15462	39365	1747948323.3273	130.9162	12847	4532	12533	10878	1005	9147	7529	8534	7430	5257	5255	4092	119	3129	480	364	2173	2171	2162	543	320	45	1254
15472	86563	1748048127.7036	193.6010	28505	1001	27372	23881	2288	19936	16419	18707	16733	11838	11830	9188	315	6962	1070	841	4895	4894	4879	1259	645	116	2859
15478	86835	1748210035.4233	191.4551	28702	9999	27808	24299	2389	20132	16546	18935	17032	12028	12017	9368	354	6988	1162	864	5004	5004	4985	1325	729	113	2818
15479	86876	1748297401.6568	192.5274	28713	1003	27966	24290	2265	20349	16749	19014	17059	12101	12095	9401	367	7130	1066	838	4958	4957	4932	1231	682	102	2917
15484	86538	1748397129.3603	196.7930	28188	1046	27361	23741	2147	20053	16436	18583	15999	11185	11180	8641	335	6558	906	842	4814	4814	4802	1245	686	117	2754
15485	86186	1748483222.3286	196.7427	28281	1030	27379	23816	2219	20027	16324	18543	16091	11310	11301	8725	307	6600	1002	816	4781	4780	4765	1218	657	139	2751
15486	86578	1748570101.0105	193.8369	28700	1036	27724	24168	2340	20153	16686	19026	16510	11548	11543	8880	359	6641	1060	820	4962	4961	4939	1222	735	149	2833
15487	86456	1748657837.5933	189.6085	28703	9952	27964	24420	2319	20397	16898	19217	17383	12133	12126	9345	377	6954	1096	918	5250	5249	5231	1300	778	108	3045
15488	86367	1748744070.6730	189.3975	28891	1004	28187	24603	2313	20541	16948	19261	17355	12219	12213	9428	399	7044	1091	894	5136	5134	5113	1293	690	115	3015
15489	60554	1748817888.8190	159.2539	20059	7031	19602	17035	1604	14211	11689	13293	12008	8473	8469	6524	231	4872	771	650	3535	3534	3518	885	483	68	2082
