Run_ID	 duration	 Date_CV        	 Date_Err	 OK   	 LOST 	 Reco_CV	 After_Zneg	 nS1_0	 nS1_1	 nS1_NOPolike	 After_S1	 After_S2	 nElectron	 Clean_nElectron	 nElectron_Trg2	 nElectron_Fiducial	 nElectron_Tube	 nElectron_Anode	 nElectron_Cathode	 nAlpha	 Clean_nAlpha	 nAlpha_Trg2	 nAlpha_Fiducial	 nAlpha_Tube	 nAlpha_Anode	 nAlpha_Cathode
 15609	    79563	 1753149860.7957	 178.5054	 28168	  8392	   27865	      20667	  2139	 17560	        15564	    17703	    16460	     11894	           11886	           9082	                330	           6926	             992	               834	   4566	         4566	        4541	            1009	         530	          104	           2898
 15614	    81279	 1753243342.8727	 184.9919	 28543	  8472	   28225	      20811	  2232	 17470	        15432	    17664	    16162	     11737	           11729	           8938	                301	           6845	             964	               828	   4425	         4424	        4408	             950	         509	          115	           2834
 15615	    86302	 1753327824.6337	 189.7897	 30165	  9046	   29767	      21927	  2436	 18414	        16198	    18634	    16976	     12262	           12257	           9377	                319	           7074	            1104	               880	   4714	         4713	        4680	            1030	         604	          125	           2921
 15616	    86146	 1753413892.1011	 189.6876	 30386	  8635	   30124	      22198	  2414	 18742	        16505	    18919	    17239	     12337	           12325	           9441	                308	           7178	            1060	               895	   4902	         4901	        4876	            1014	         640	          145	           3077
 15617	    88041	 1753501621.2147	 189.1545	 31274	  8983	   31052	      22945	  2534	 19324	        17057	    19591	    17946	     13027	           13020	           9895	                325	           7541	            1114	               915	   4919	         4918	        4896	            1012	         589	          139	           3156
 15618	    82577	 1753586638.1847	 186.0919	 29104	  8619	   28831	      21301	  2322	 18015	        15908	    18230	    16671	     12119	           12110	           9176	                317	           6939	            1031	               889	   4552	         4550	        4520	             918	         552	          124	           2926
 15619	    77964	 1753666508.1978	 179.8442	 27411	  7930	   27165	      20133	  2230	 16740	        14785	    17015	    15626	     11224	           11214	           8502	                291	           6450	             973	               788	   4402	         4402	        4380	             975	         564	          138	           2703
 15621	    83287	 1753758337.8504	 184.6781	 29261	  8351	   28994	      21393	  2317	 18010	        15927	    18244	    17061	     12235	           12228	           9341	                331	           7010	            1096	               904	   4826	         4824	        4792	            1060	         631	          128	           2973
 15622	    90371	 1753846053.1102	 192.1036	 31543	  9167	   31245	      23137	  2549	 19496	        17243	    19792	    18492	     13307	           13301	          10152	                350	           7691	            1134	               977	   5185	         5183	        5154	            1001	         678	          158	           3317
 15623	    80748	 1753931584.5079	 180.0733	 28474	  8300	   28210	      20836	  2371	 17551	        15474	    17845	    16733	     11969	           11962	           8932	                292	           6753	            1018	               869	   4764	         4764	        4742	             996	         582	          145	           3019
