Measurement time	Rn222 (Bq/m3) AG2078  [DVD]	Data quality ALGU () AG2078  [DVD]	System quality ALGU () AG2078  [DVD]	Reloc channel/Marker () AG2078  [DVD]	Add 1.0 function for Rn222+error in Bq AG2078  [DVD] (Bqm3) 	Add 1.0 function for Temperature �C AG2078  [DVD] (C) 	Add 1.0 function for Air pressure mbar AG2078  [DVD] (mbar) 	Add 1.0 function for Humidity rel.% AG2078  [DVD] (%)					
04/08/2025 13:20:00	97			[Reloc]	35	22,4	886,9	44,3
04/08/2025 13:30:00	61				29	22,4	887,0	44,3
04/08/2025 13:40:00	75				31	22,3	886,8	44,8
04/08/2025 13:50:00	85				33	22,1	886,8	44,5
04/08/2025 14:00:00	45				23	22,3	886,6	44,3
04/08/2025 14:10:00	95				34	22,4	886,7	44,3
04/08/2025 14:20:00	66				28	22,4	886,5	44,8
04/08/2025 14:30:00	72				29	22,1	886,6	44,3
04/08/2025 14:40:00	114	[PREA]			45	22,3	886,4	44,8
04/08/2025 14:50:00	75				31	22,5	886,5	44,3
04/08/2025 15:00:00	69				29	22,4	886,3	45,5
04/08/2025 15:10:00	34				19	22,3	886,3	45,3
04/08/2025 15:20:00	132				39	22,3	886,3	45,0
04/08/2025 15:30:00	51				24	22,5	886,3	44,8
04/08/2025 15:40:00	121				38	22,4	886,3	45,5
04/08/2025 15:50:00	115				38	22,3	886,3	45,5
04/08/2025 16:00:00	83				33	22,1	886,3	45,5
04/08/2025 16:10:00	73				31	22,4	886,2	45,0
04/08/2025 16:20:00	105				37	22,5	886,2	45,3
04/08/2025 16:30:00	99				36	22,3	886,2	45,5
04/08/2025 16:40:00	89				35	22,1	886,1	45,3
04/08/2025 16:50:00	122				39	22,3	886,0	45,0
04/08/2025 17:00:00	90				36	22,4	886,2	44,3
04/08/2025 17:10:00	111				38	22,4	886,0	44,8
04/08/2025 17:20:00	113				39	22,3	886,1	44,8
04/08/2025 17:30:00	56				28	22,3	886,1	44,5
04/08/2025 17:40:00	77				32	22,4	886,1	43,8
04/08/2025 17:50:00	115				38	22,4	886,2	45,0
04/08/2025 18:00:00	146				48	22,3	886,2	45,3
04/08/2025 18:10:00	151				43	22,3	886,6	44,3
04/08/2025 18:20:00	41				25	22,4	886,3	44,3
04/08/2025 18:30:00	109				38	22,4	886,3	45,0
04/08/2025 18:40:00	53				27	22,4	886,4	45,5
04/08/2025 18:50:00	114				38	22,3	886,6	44,8
04/08/2025 19:00:00	119				39	22,4	886,5	44,3
04/08/2025 19:10:00	111				39	22,5	886,6	45,0
04/08/2025 19:20:00	82				35	22,4	886,8	45,5
04/08/2025 19:30:00	97				37	22,3	886,7	44,8
04/08/2025 19:40:00	64				30	22,3	886,8	44,8
04/08/2025 19:50:00	86				34	22,5	886,8	44,8
04/08/2025 20:00:00	94				36	22,4	887,0	46,0
04/08/2025 20:10:00	89				35	22,3	887,2	45,5
04/08/2025 20:20:00	105				37	22,1	887,0	45,5
04/08/2025 20:30:00	70				31	22,4	887,2	45,5
04/08/2025 20:40:00	66				29	22,5	887,4	45,5
04/08/2025 20:50:00	129				39	22,4	887,3	46,0
04/08/2025 21:00:00	74				31	22,3	887,5	46,5
04/08/2025 21:10:00	111				38	22,3	887,6	46,5
04/08/2025 21:20:00	81				33	22,5	887,7	45,8
04/08/2025 21:30:00	106				37	22,5	887,6	46,5
04/08/2025 21:40:00	57				27	22,3	887,7	47,8
04/08/2025 21:50:00	93				35	22,3	887,7	47,0
04/08/2025 22:00:00	87				34	22,5	887,7	46,8
04/08/2025 22:10:00	92				35	22,4	887,8	47,5
04/08/2025 22:20:00	162				49	22,3	887,8	47,5
04/08/2025 22:30:00	64				30	22,1	887,8	47,5
04/08/2025 22:40:00	103				37	22,4	887,8	47,0
04/08/2025 22:50:00	94				36	22,5	887,9	47,0
04/08/2025 23:00:00	75				32	22,4	887,9	47,5
04/08/2025 23:10:00	132				40	22,1	887,8	47,5
04/08/2025 23:20:00	103				38	22,3	887,9	48,0
04/08/2025 23:30:00	134				41	22,5	887,9	47,5
04/08/2025 23:40:00	118				40	22,5	887,9	47,5
04/08/2025 23:50:00	97				38	22,3	888,0	47,5
05/08/2025	126				41	22,1	888,0	47,0
05/08/2025 0:10:00	80				36	22,4	887,8	46,5
05/08/2025 0:20:00	120				40	22,5	887,8	45,5
05/08/2025 0:30:00	86				36	22,4	887,7	45,8
05/08/2025 0:40:00	108				39	22,3	887,7	46,0
05/08/2025 0:50:00	48				26	22,3	887,7	44,8
05/08/2025 1:00:00	136				41	22,4	887,7	44,3
05/08/2025 1:10:00	56				28	22,4	887,7	44,3
05/08/2025 1:20:00	102				37	22,3	887,7	44,3
05/08/2025 1:30:00	115				39	22,1	887,7	43,3
05/08/2025 1:40:00	105				38	22,3	887,8	43,3
05/08/2025 1:50:00	63				30	22,5	887,9	42,8
05/08/2025 2:00:00	96				36	22,4	887,9	42,8
05/08/2025 2:10:00	81				33	22,1	887,8	41,8
05/08/2025 2:20:00	65				29	22,3	887,8	41,8
05/08/2025 2:30:00	93				35	22,4	887,8	40,8
05/08/2025 2:40:00	87				34	22,4	887,8	41,0
05/08/2025 2:50:00	116				38	22,1	887,8	41,3
05/08/2025 3:00:00	93				36	22,3	887,8	41,3
05/08/2025 3:10:00	120				39	22,4	887,8	41,3
05/08/2025 3:20:00	124				40	22,4	887,8	41,0
05/08/2025 3:30:00	38				23	22,3	887,8	40,5
05/08/2025 3:40:00	84				33	22,1	887,8	39,5
05/08/2025 3:50:00	73				31	22,4	887,8	40,0
05/08/2025 4:00:00	110				37	22,4	887,8	39,0
05/08/2025 4:10:00	72				31	22,3	887,9	39,5
05/08/2025 4:20:00	117				38	22,1	887,8	39,5
05/08/2025 4:30:00	78				32	22,3	887,9	39,8
05/08/2025 4:40:00	98				36	22,4	887,9	39,3
05/08/2025 4:50:00	71				31	22,4	887,7	39,5
05/08/2025 5:00:00	92				35	22,1	887,7	39,5
05/08/2025 5:10:00	119				39	22,3	887,8	39,0
05/08/2025 5:20:00	115				39	22,4	887,7	39,0
05/08/2025 5:30:00	112				39	22,4	887,9	39,5
05/08/2025 5:40:00	87				36	22,3	888,0	39,5
05/08/2025 5:50:00	60				29	22,1	888,0	39,5
05/08/2025 6:00:00	102				37	22,4	888,1	39,5
05/08/2025 6:10:00	155				43	22,4	888,1	39,0
05/08/2025 6:20:00	88				36	22,3	888,3	40,0
