Measurement time	Rn222 (Bq/m3) AG2078  [DVD]	Data quality ALGU () AG2078  [DVD]	System quality ALGU () AG2078  [DVD]	Reloc channel/Marker () AG2078  [DVD]	Add 1.0 function for Rn222+error in Bq AG2078  [DVD] (Bqm3) 	Add 1.0 function for Temperature �C AG2078  [DVD] (C) 	Add 1.0 function for Air pressure mbar AG2078  [DVD] (mbar) 	Add 1.0 function for Humidity rel.% AG2078  [DVD] (%)							
25/08/2025 13:30:00	36				31	22,4	883,7	53,8
25/08/2025 13:40:00	114				36	22,4	883,8	53,8
25/08/2025 13:50:00	76				30	22,4	883,7	53,8
25/08/2025 14:00:00	69				28	22,4	883,7	54,3
25/08/2025 14:10:00	77				30	22,4	883,7	53,5
25/08/2025 14:20:00	77				30	22,4	883,6	53,8
25/08/2025 14:30:00	69				28	22,4	883,4	53,3
25/08/2025 14:40:00	101				35	22,4	883,3	54,5
25/08/2025 14:50:00	57				25	22,4	883,3	53,3
25/08/2025 15:00:00	92				33	22,3	883,2	53,3
25/08/2025 15:10:00	75				30	22,3	883,3	53,3
25/08/2025 15:20:00	61				26	22,3	883,3	53,3
25/08/2025 15:30:00	59				25	22,3	883,3	53,8
25/08/2025 15:40:00	72				28	22,3	882,8	53,8
25/08/2025 15:50:00	111	[PREA]			36	22,4	883,1	53,3
25/08/2025 16:00:00	94				34	22,4	883,0	53,3
25/08/2025 16:10:00	59				26	22,3	882,7	53,8
25/08/2025 16:20:00	134				39	22,1	882,6	53,3
25/08/2025 16:30:00	48				24	22,1	882,6	53,5
25/08/2025 16:40:00	74				30	22,3	882,6	54,5
25/08/2025 16:50:00	65				27	22,4	882,6	54,5
25/08/2025 17:00:00	100				35	22,4	882,5	53,3
25/08/2025 17:10:00	77				31	22,4	882,5	53,3
25/08/2025 17:20:00	80				31	22,3	882,8	53,8
25/08/2025 17:30:00	60				26	22,1	882,6	53,8
25/08/2025 17:40:00	123				38	22,3	882,6	53,8
25/08/2025 17:50:00	52				25	22,4	882,6	52,8
25/08/2025 18:00:00	87				32	22,4	882,6	54,0
25/08/2025 18:10:00	40				21	22,4	882,6	53,3
25/08/2025 18:20:00	68				27	22,3	882,7	53,5
25/08/2025 18:30:00	59				25	22,1	882,7	54,3
25/08/2025 18:40:00	73				28	22,3	882,6	54,8
25/08/2025 18:50:00	96				33	22,4	882,7	53,3
25/08/2025 19:00:00	50				23	22,4	882,7	53,3
25/08/2025 19:10:00	59				25	22,3	882,5	53,3
25/08/2025 19:20:00	169				42	22,1	882,7	54,5
25/08/2025 19:30:00	89				34	22,1	882,6	54,5
25/08/2025 19:40:00	89				34	22,4	882,6	53,8
25/08/2025 19:50:00	92				35	22,4	882,6	53,3
25/08/2025 20:00:00	80				32	22,4	882,6	54,5
25/08/2025 20:10:00	67				29	22,3	882,6	53,8
25/08/2025 20:20:00	65				28	22,1	882,6	53,8
25/08/2025 20:30:00	106				36	22,3	882,6	54,5
25/08/2025 20:40:00	110				37	22,4	882,7	53,3
25/08/2025 20:50:00	53				25	22,4	882,8	53,3
25/08/2025 21:00:00	70				29	22,3	882,7	52,8
25/08/2025 21:10:00	129				39	22,3	882,9	53,3
25/08/2025 21:20:00	53				25	22,1	883,0	53,3
25/08/2025 21:30:00	97				35	22,3	883,2	53,3
25/08/2025 21:40:00	68				29	22,4	883,2	52,3
25/08/2025 21:50:00	77				31	22,4	883,3	52,8
25/08/2025 22:00:00	85				32	22,3	883,3	53,3
25/08/2025 22:10:00	73				30	22,1	883,4	53,3
25/08/2025 22:20:00	43				21	22,1	883,5	52,8
25/08/2025 22:30:00	52				23	22,3	883,4	52,8
25/08/2025 22:40:00	73				28	22,4	883,5	52,8
25/08/2025 22:50:00	70				27	22,4	883,5	52,8
25/08/2025 23:00:00	73				28	22,3	883,5	52,8
25/08/2025 23:10:00	92				32	22,1	883,4	52,8
25/08/2025 23:20:00	67				27	22,3	883,4	53,3
25/08/2025 23:30:00	54				24	22,4	883,4	52,3
25/08/2025 23:40:00	80				30	22,4	883,4	52,3
25/08/2025 23:50:00	62				25	22,3	883,4	52,8
26/08/2025	84				31	22,1	883,4	53,3
26/08/2025 0:10:00	107				36	22,1	883,4	52,8
26/08/2025 0:20:00	102				36	22,3	883,4	52,8
26/08/2025 0:30:00	46				23	22,4	883,4	52,3
26/08/2025 0:40:00	63				26	22,4	883,4	52,3
26/08/2025 0:50:00	98				34	22,3	883,3	53,3
26/08/2025 1:00:00	61				26	22,1	883,3	52,8
26/08/2025 1:10:00	74				29	22,3	883,3	52,5
26/08/2025 1:20:00	67				27	22,4	883,3	52,3
26/08/2025 1:30:00	106				36	22,4	883,4	52,5
26/08/2025 1:40:00	102				36	22,4	883,3	52,5
26/08/2025 1:50:00	36				20	22,3	883,2	51,8
26/08/2025 2:00:00	75				29	22,1	883,1	51,8
26/08/2025 2:10:00	20				14	22,3	882,9	52,3
26/08/2025 2:20:00	56				23	22,4	882,8	52,0
26/08/2025 2:30:00	47				21	22,4	882,8	52,3
26/08/2025 2:40:00	72				26	22,3	882,7	52,5
26/08/2025 2:50:00	121				37	22,1	882,7	52,5
26/08/2025 3:00:00	68				27	22,3	882,6	52,8
26/08/2025 3:10:00	46				21	22,4	882,5	52,8
26/08/2025 3:20:00	75				28	22,4	882,5	52,8
26/08/2025 3:30:00	74				28	22,4	882,3	52,8
26/08/2025 3:40:00	76				29	22,3	882,3	52,8
26/08/2025 3:50:00	91				32	22,1	882,2	53,3
26/08/2025 4:00:00	97				34	22,3	882,2	54,0
26/08/2025 4:10:00	110				37	22,4	882,1	52,8
26/08/2025 4:20:00	68				29	22,4	882,1	53,3
26/08/2025 4:30:00	105				36	22,3	882,0	52,8
26/08/2025 4:40:00	71				30	22,3	882,0	52,8
26/08/2025 4:50:00	138				40	22,1	882,0	53,8
26/08/2025 5:00:00	92				36	22,3	881,9	53,8
26/08/2025 5:10:00	96				36	22,4	881,8	52,5
26/08/2025 5:20:00	81				33	22,4	881,8	52,8
26/08/2025 5:30:00	82				33	22,3	881,8	52,8
26/08/2025 5:40:00	65				29	22,1	881,8	52,8
26/08/2025 5:50:00	101				36	22,1	881,6	53,3
26/08/2025 6:00:00	85				33	22,4	881,6	53,3
